Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.016045, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.034491, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.049338, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.063488, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.085011, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.103870, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.118898, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.132619, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.153865, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.166232, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.185646, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.197692, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.220187, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.225470, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.257960, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.253351, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.270769, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.305134, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.313035, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.327516, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.335106, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.353356, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.376473, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.417908, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.437130, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.434426, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.465822, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.472330, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.472904, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.492568, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.539629, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.545352, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.522790, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.592944, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.585919, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.625520, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.604348, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.638821, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.636681, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.645641, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.683887, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.721928, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.751154, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.705922, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.779470, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.748943, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.769983, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.818018, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.845494, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.810454, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.822189, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.834845, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.926460, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.863487, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.871918, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.969653, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.944140, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.001077, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.969862, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.976010, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.042307, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.995381, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.094898, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.057302, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.052843, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.119569, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.109718, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.148700, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.207374, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.195085, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.214381, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.141998, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.175892, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.188076, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.241364, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.266405, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.273334, z = 0.000000
Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 1.331710, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.377476, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.295185, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.323802, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.318569, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.384591, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.357057, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.420748, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.362373, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.423456, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.483569, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.436202, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.573547, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.530169, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.565244, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.606066, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.593686, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.628262, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.610696, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.684984, z = 0.000000
Fri Dec 23 13:25:22 2022 -- New position of the end effector: x = 1.595095, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.582960, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.739946, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.684502, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.772558, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.693673, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.747366, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.892686, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.888642, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.847728, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.948746, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 1.912013, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.092078, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.076188, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.058505, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.006332, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.119458, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.098538, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.263237, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.331480, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.225908, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.218279, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.313839, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.306327, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.422037, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.439930, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.507833, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.605936, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.626222, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.606332, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.530352, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.680666, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.787442, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.608840, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.624059, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.696360, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.836321, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.848011, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.949358, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 3.020212, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.834530, z = 0.000000
Fri Dec 23 13:25:23 2022 -- New position of the end effector: x = 2.951284, z = 0.000000
Fri Dec 23 13:25:24 2022 -- New position of the end effector: x = 2.926000, z = 0.000000
Fri Dec 23 13:25:24 2022 -- New position of the end effector: x = 2.993590, z = 0.000000
Fri Dec 23 13:25:24 2022 -- New position of the end effector: x = 3.100432, z = 0.000000
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.093955, z = 0.000000
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.093955, z = 0.016023
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.199410, z = 0.016023
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.227917, z = 0.016023
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.225413, z = 0.016023
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.225413, z = 0.034419
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.380556, z = 0.034419
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.380556, z = 0.048877
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.380556, z = 0.068209
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.380556, z = 0.084026
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.320093, z = 0.084026
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.320093, z = 0.096318
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.320093, z = 0.118290
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.382254, z = 0.118290
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.290916, z = 0.118290
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.290916, z = 0.131953
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.236491, z = 0.131953
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.236491, z = 0.150205
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.302229, z = 0.150205
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.302229, z = 0.170204
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.468017, z = 0.170204
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.612031, z = 0.170204
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.434506, z = 0.170204
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.434506, z = 0.186406
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.434506, z = 0.199691
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.434506, z = 0.218840
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.554188, z = 0.218840
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.691655, z = 0.218840
Fri Dec 23 13:25:25 2022 -- New position of the end effector: x = 3.458894, z = 0.218840
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.458894, z = 0.227965
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.458894, z = 0.258225
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.458894, z = 0.257792
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.458894, z = 0.276190
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.675747, z = 0.276190
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.675747, z = 0.300363
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.484579, z = 0.300363
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.484579, z = 0.317194
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.484579, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.627395, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.887057, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.719676, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.921165, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.012022, z = 0.334326
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.012022, z = 0.360344
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.687735, z = 0.360344
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.014386, z = 0.360344
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.903188, z = 0.360344
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.889376, z = 0.360344
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.889376, z = 0.354622
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 3.889376, z = 0.383992
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.090742, z = 0.383992
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.090742, z = 0.406990
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.018169, z = 0.406990
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.248374, z = 0.406990
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.105765, z = 0.406990
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.215357, z = 0.406990
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.215357, z = 0.422537
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.163504, z = 0.422537
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.422537
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.428842
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.432037
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.457767
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.466594
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.517324
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.516134
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.516609
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.526715
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.566763
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.350019, z = 0.602982
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.167755, z = 0.602982
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.167755, z = 0.603654
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.252534, z = 0.603654
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.252534, z = 0.646592
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.252534, z = 0.660016
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.182874, z = 0.660016
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.496825, z = 0.660016
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.496825, z = 0.660202
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.400506, z = 0.660202
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.400506, z = 0.668337
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.400506, z = 0.697327
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.400506, z = 0.725437
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.400506, z = 0.698026
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.355252, z = 0.698026
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.599939, z = 0.698026
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.336497, z = 0.698026
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.336497, z = 0.754835
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.754835
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.744312
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.804599
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.748172
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.826487
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.780656
Fri Dec 23 13:25:26 2022 -- New position of the end effector: x = 4.615036, z = 0.827032
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.615036, z = 0.809976
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.615036, z = 0.860159
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.339752, z = 0.860159
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.339752, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.699277, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.820585, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.646628, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.830658, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.541226, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.927943, z = 0.858751
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.927943, z = 0.902806
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.927943, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.539009, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.859540, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.717871, z = 0.918221
